name,category
foodette,"E-commerce, Environnement / Développement durable, FoodTech"
orchestra,"Big Data, E-commerce, Logiciels, Tourisme"
nooz-optics,"Art de vivre, Santé"
artimon,"Digital Marketing / Data Marketing, Organisation / Management, Transformation"
wiremind,"Organisation / Management, Supply Chain"
angelsquare,"FinTech / InsurTech, Finance"
tiller-systems,"FoodTech, Logiciels, Restauration"
legalplace,"IT / Digital, Logiciels, Service juridique"
hello-watt,Energie
mobeye,"Application mobile, Grande consommation, Économie collaborative"
lalilo,"EdTech, Education"
vivei,Organisation / Management
d&consultants,"Audit, Stratégie, Transformation"
aigle,Mode
sofyne-active-technology,"Big Data, IT / Digital, Transformation"
affluences,"Application mobile, Objets connectés"
tequilarapido,"Digital, Marketing / Communication"
athena-advisers,"Immobilier commercial, Immobilier particulier"
shippeo,"Intelligence artificielle / Machine Learning, Logistique"
bcm-energy,"Energie, Environnement / Développement durable"
eric-bompard,"Luxe, Mode"
rezin,"Distribution sélective, E-commerce, Mode"
karismatik,IT / Digital
ebury,"FinTech / InsurTech, Transaction Services"
herve-sauzay-conseil---hsc,Evénementiel
labbe-laurelli,Stratégie
splio,"Digital Marketing / Data Marketing, IT / Digital, Marketing / Communication"
groupe-william-sinclair,"Organisation / Management, Ressources humaines"
kactus,"Evénementiel, IT / Digital, Tourisme"
jechange,"E-commerce, IT / Digital"
opngo,"Application mobile, Automobile, Mobilité"
jedha,"Education, Formation"
ealico,"Big Data, IT / Digital"
betc-digital,"Digital, E-commerce, Marketing / Communication"
petit-cube,"Art de vivre, E-commerce"
masteris,"Ferroviaire, Mobilité"
carambar&co,Grande consommation
société-générale,"Banque, Finance"
criteo,"AdTech  / MarTech, Big Data, Digital Marketing / Data Marketing"
globedreamers,"Relations publiques, Tourisme, Économie collaborative"
bleckwen,"Cybersécurité, FinTech / InsurTech, Intelligence artificielle / Machine Learning"
mad,"Luxe, Stratégie"
havas-group,"Digital, Marketing / Communication, Publicité"
wellcom,"Marketing / Communication, Relations publiques"
sicara,"Big Data, Digital"
katchme,"Organisation / Management, Recrutement"
weloop,Logiciels
dashlane,"Application mobile, Cybersécurité"
neoxia,"IT / Digital, Logiciels"
xperts-council,Stratégie
bobbies,"E-commerce, Mode"
vingtcinq---fabrique-digitale,"Digital, Digital Marketing / Data Marketing"
bpifrance-le-hub,"Banque, Evénementiel, Recrutement"
exotec-solutions,"Logistique, Objets connectés, Robotique"
balyo,"Logistique, Robotique"
horace,"Cosmétique, E-commerce"
yespark,"Application mobile, Économie collaborative"
axialys,"Electronique / Télécommunications, Logiciels"
chefing,"E-commerce, Evénementiel, FoodTech, Grande consommation, Restauration"
cg2-conseil,Transformation
claravista,"Big Data, Digital Marketing / Data Marketing, Intelligence artificielle / Machine Learning, Stratégie"
gitbook,"IT / Digital, Logiciels, SaaS / Cloud Services"
spectral,"EdTech, Formation, Logiciels"
en-voiture-simone,"Education, Formation"
efounders,"Accompagnement, Incubateur / Accélérateur"
nextdoor,Coworking
courcelles-conseil,Stratégie
wecasa,"Application mobile, Cosmétique, Services à la personne"
monemprunt.com,"Banque, FinTech / InsurTech, Immobilier particulier"
kisio-digital,"Big Data, Mobilité"
matador,"Marketing / Communication, Stratégie"
victor-&-charles,Big Data
sqreen,"Cybersécurité, IT / Digital"
fircosoft,"FinTech / InsurTech, Logiciels"
early-birds,"E-commerce, Logiciels"
dcbrain,"Big Data, Environnement / Développement durable, Intelligence artificielle / Machine Learning"
paylead,"Application mobile, FinTech / InsurTech, Marketing / Communication"
history-group,"Luxe, Musées / Institutions culturelles, Tourisme"
